t_s,pura_cmH2O,pura_min_cmH2O,pura_max_cmH2O,x_px,y_px
-4.0997,45.21,2.78,86.11,2.00,228.73
-3.9590,48.12,5.56,88.89,3.00,227.68
-3.8184,85.15,83.33,88.89,4.00,214.35
-3.6777,84.61,83.33,86.11,5.00,214.54
-3.5370,84.07,83.33,86.11,6.00,214.73
-3.3964,84.14,83.33,86.11,7.00,214.71
-3.2557,85.58,83.33,86.11,8.00,214.19
-3.1151,84.80,83.33,86.11,9.00,214.47
-2.9744,84.30,83.33,86.11,10.00,214.65
-2.8337,84.72,83.33,86.11,11.00,214.50
-2.6931,84.72,83.33,86.11,12.00,214.50
-2.5524,84.46,83.33,86.11,13.00,214.59
-2.4117,84.07,83.33,86.11,14.00,214.73
-2.2711,84.50,83.33,86.11,15.00,214.58
-2.1304,85.58,83.33,86.11,16.00,214.19
-1.9897,85.58,83.33,86.11,17.00,214.19
-1.8491,85.03,83.33,86.11,18.00,214.39
-1.7084,84.13,83.33,86.11,19.00,214.71
-1.5678,84.07,83.33,86.11,20.00,214.73
-1.4271,84.07,83.33,86.11,21.00,214.73
-1.2864,85.39,83.33,86.11,22.00,214.26
-1.1458,84.42,83.33,86.11,23.00,214.61
-1.0051,84.07,83.33,86.11,24.00,214.73
-0.8644,84.07,83.33,86.11,25.00,214.73
-0.7238,84.07,83.33,86.11,26.00,214.73
-0.5831,84.07,83.33,86.11,27.00,214.73
-0.4425,84.51,83.33,86.11,28.00,214.58
-0.3018,84.72,83.33,86.11,29.00,214.50
-0.1611,85.58,83.33,86.11,30.00,214.19
-0.0205,84.83,83.33,86.11,31.00,214.46
0.1202,84.62,83.33,86.11,32.00,214.54
0.2609,84.07,83.33,86.11,33.00,214.73
0.4015,85.55,83.33,86.11,34.00,214.20
0.5422,84.72,83.33,86.11,35.00,214.50
0.6828,84.21,83.33,86.11,36.00,214.68
0.8235,84.07,83.33,86.11,37.00,214.73
0.9642,84.07,83.33,86.11,38.00,214.73
1.1048,84.72,83.33,86.11,39.00,214.50
1.2455,88.74,83.33,94.44,40.00,213.05
1.3862,95.36,88.89,100.00,41.00,210.67
1.5268,100.30,94.44,108.33,42.00,208.89
1.6675,109.26,100.00,116.67,43.00,205.66
1.8081,114.85,111.11,119.44,44.00,203.65
1.9488,118.46,116.67,119.44,45.00,202.36
2.0895,122.15,119.44,125.00,46.00,201.02
2.2301,123.83,119.44,127.78,47.00,200.42
2.3708,122.53,119.44,125.00,48.00,200.89
2.5115,122.42,119.44,125.00,49.00,200.93
2.6521,123.30,119.44,125.00,50.00,200.61
2.7928,124.22,122.22,127.78,51.00,200.28
2.9335,123.39,122.22,125.00,52.00,200.58
3.0741,122.61,119.44,125.00,53.00,200.86
3.2148,121.28,119.44,122.22,54.00,201.34
3.3554,121.88,119.44,125.00,55.00,201.12
3.4961,121.28,119.44,122.22,56.00,201.34
3.6368,122.08,119.44,125.00,57.00,201.05
3.7774,119.67,116.67,122.22,58.00,201.92
3.9181,117.69,116.67,119.44,59.00,202.63
4.0588,117.02,113.89,119.44,60.00,202.87
4.1994,115.44,113.89,116.67,61.00,203.44
4.3401,115.33,113.89,116.67,62.00,203.48
4.4807,112.91,111.11,116.67,63.00,204.35
4.6214,111.97,108.33,113.89,64.00,204.69
4.7621,109.66,108.33,111.11,65.00,205.52
4.9027,110.34,108.33,113.89,66.00,205.28
5.0434,109.06,105.56,111.11,67.00,205.74
5.1841,108.61,105.56,111.11,68.00,205.90
5.3247,108.24,102.78,111.11,69.00,206.03
5.4654,99.59,86.11,111.11,70.00,209.15
5.6060,88.69,77.78,100.00,71.00,213.07
5.7467,78.80,75.00,83.33,72.00,216.63
5.8874,75.12,72.22,77.78,73.00,217.96
6.0280,74.45,72.22,77.78,74.00,218.20
6.1687,73.94,72.22,75.00,75.00,218.38
6.3094,73.94,72.22,75.00,76.00,218.38
6.4500,74.52,72.22,77.78,77.00,218.17
6.5907,73.94,72.22,75.00,78.00,218.38
6.7313,72.91,69.44,75.00,79.00,218.75
