t_s,pura_cmH2O,pura_min_cmH2O,pura_max_cmH2O
-4.0997,45.21,2.78,86.11
-3.8497,76.90,66.01,88.89
-3.5997,84.31,83.33,86.11
-3.3497,84.62,83.33,86.11
-3.0997,84.75,83.33,86.11
-2.8497,84.67,83.33,86.11
-2.5997,84.55,83.33,86.11
-2.3497,84.26,83.33,86.11
-2.0997,85.58,83.33,86.11
-1.8497,85.03,83.33,86.11
-1.5997,84.08,83.33,86.11
-1.3497,84.80,83.33,86.11
-1.0997,84.31,83.33,86.11
-0.8497,84.07,83.33,86.11
-0.5997,84.07,83.33,86.11
-0.3497,84.65,83.33,86.11
-0.0997,85.25,83.33,86.11
0.1503,84.50,83.33,86.11
0.4003,85.53,83.33,86.11
0.6503,84.33,83.33,86.11
0.9003,84.07,83.33,86.11
1.1503,86.02,83.33,88.81
1.4003,95.86,89.45,100.84
1.6503,108.17,99.32,115.65
1.9003,117.21,114.75,119.44
2.1503,122.88,119.44,126.20
2.4003,122.51,119.44,125.00
2.6503,123.29,119.44,125.00
2.9003,123.59,122.22,125.65
3.1503,121.89,119.44,123.50
3.4003,121.69,119.44,124.11
3.6503,121.85,119.18,124.73
3.9003,117.94,116.67,119.80
4.1503,115.99,113.89,117.64
4.4003,114.30,112.70,116.67
4.6503,111.50,108.33,113.32
4.9003,110.32,108.33,113.84
5.1503,108.72,105.56,111.11
5.4003,103.59,93.82,111.11
5.6503,85.58,76.90,94.76
5.9003,75.05,72.22,77.78
6.1503,74.01,72.22,75.36
6.4003,74.31,72.22,76.80
6.6503,73.50,71.04,75.00
6.9003,71.75,69.44,72.22
7.1503,73.18,69.44,74.94
7.4003,73.83,72.22,75.00
7.6503,73.21,69.44,75.00
7.9003,72.33,69.44,74.14
8.1503,72.65,69.69,75.00
8.4003,73.93,72.22,75.00
8.6503,74.58,72.22,76.78
8.9003,72.36,69.44,73.83
9.1503,74.61,72.22,77.23
9.4003,73.94,72.22,75.00
9.6503,74.20,72.22,75.69
9.9003,74.18,72.22,76.47
10.1503,74.91,72.22,77.78
10.4003,76.02,75.00,77.78
10.6503,76.02,75.00,77.78
10.9003,75.70,73.23,77.78
11.1503,74.77,73.38,76.15
11.4003,76.02,75.00,77.78
11.6503,76.02,75.00,77.78
11.9003,74.70,72.22,77.78
12.1503,76.14,75.00,77.78
12.4003,76.14,75.00,77.78
12.6503,76.67,75.00,80.34
12.9003,76.16,75.00,77.78
13.1503,76.57,75.00,79.54
13.4003,76.85,75.00,78.92
13.6503,78.06,75.00,80.03
13.9003,76.09,75.00,77.78
14.1503,76.20,75.00,77.78
14.4003,77.72,76.44,79.22
14.6503,77.75,76.95,80.56
14.9003,76.19,75.21,77.78
15.1503,76.52,75.41,77.78
15.4003,78.19,77.78,80.56
15.6503,76.75,75.00,80.56
15.9003,76.99,75.51,80.56
16.1503,78.19,77.78,80.56
16.4003,78.19,77.78,80.56
16.6503,78.35,76.34,80.56
16.9003,76.77,75.81,78.59
17.1503,78.75,77.78,80.56
17.4003,78.61,77.78,80.56
17.6503,79.27,77.78,80.56
17.9003,78.19,77.78,80.56
18.1503,78.86,77.78,80.56
18.4003,79.66,77.78,80.56
18.6503,79.73,77.78,80.56
18.9003,78.57,77.78,80.56
19.1503,78.59,77.78,80.56
19.4003,79.17,77.78,80.56
19.6503,79.17,77.78,80.56
19.9003,78.53,77.78,80.56
20.1503,79.69,77.78,80.56
20.4003,79.73,77.78,80.56
20.6503,79.38,77.78,80.56
20.9003,78.45,77.78,80.56
21.1503,79.60,77.78,80.56
21.4003,79.73,77.78,80.56
21.6503,79.38,77.78,80.56
21.9003,79.05,77.78,80.56
22.1503,79.17,77.78,80.56
22.4003,79.35,77.78,80.56
22.6503,79.48,77.78,80.56
22.9003,78.24,77.78,80.56
23.1503,79.21,77.78,80.56
23.4003,79.51,77.78,80.56
23.6503,78.59,77.78,80.56
23.9003,78.33,77.78,80.56
24.1503,79.57,77.78,80.56
24.4003,79.34,77.78,80.56
24.6503,78.22,77.78,80.56
24.9003,78.23,77.78,80.56
25.1503,79.40,77.78,80.56
25.4003,79.73,77.78,80.56
25.6503,78.72,77.78,80.56
25.9003,78.45,77.78,80.56
26.1503,78.23,77.78,80.56
26.4003,78.63,77.78,80.56
26.6503,77.48,76.09,80.56
26.9003,77.57,76.07,80.56
27.1503,78.31,77.78,80.56
27.4003,78.23,77.78,80.56
27.6503,76.32,75.00,77.78
27.9003,77.44,76.37,80.56
28.1503,79.02,77.78,80.56
28.4003,78.27,77.78,80.56
28.6503,77.15,75.48,80.56
28.9003,78.01,76.68,80.56
29.1503,79.07,77.78,80.56
29.4003,77.95,77.34,80.56
29.6503,76.22,75.00,77.96
29.9003,78.60,76.98,80.56
30.1503,78.72,77.78,80.56
30.4003,78.72,77.78,80.56
30.6503,76.72,75.00,80.56
30.9003,78.22,77.28,80.56
31.1503,79.17,77.78,80.56
31.4003,78.07,76.73,80.56
31.6503,77.17,75.43,80.56
31.9003,79.14,77.78,80.56
32.1503,79.35,77.78,80.56
32.4003,78.19,77.78,80.56
32.6503,76.32,75.00,77.78
32.9003,76.82,75.11,80.56
33.1503,78.64,77.78,80.56
33.4003,77.56,76.13,80.56
33.6503,76.08,75.00,77.78
33.9003,77.81,75.42,80.56
34.1503,78.68,77.78,80.56
34.4003,78.19,77.78,80.56
34.6503,77.48,76.44,80.56
34.9003,77.36,75.72,80.56
35.1503,79.34,77.68,80.56
35.4003,76.47,75.00,78.30
35.6503,76.84,75.00,80.56
